Country Type,Healthcare Quality,Education Level,Obesity Rate,Smoking Prevalence,Alcohol Consumption,Income Level,Sanitation Facilities,Disease Control,Life Expectancy Category
Developed,Medium,Tertiary,High,High,High,High,Poor,Excellent,Low
Developed,Low,Primary,Low,High,High,Middle,Moderate,Poor,Low
Developing,Medium,Primary,Low,Medium,Low,Middle,Excellent,Excellent,High
Developing,High,Tertiary,Low,Low,Low,Middle,Moderate,Moderate,Low
Developed,Low,Primary,Medium,High,Medium,Middle,Poor,Poor,Medium
Developed,Medium,Primary,High,High,High,Low,Excellent,Poor,High
Developed,Medium,Tertiary,Low,High,Medium,Middle,Poor,Excellent,High
Developed,High,Tertiary,High,Medium,High,Low,Excellent,Excellent,High
Developing,Medium,Primary,High,Medium,Low,Middle,Moderate,Moderate,High
Developing,Low,Secondary,Low,Medium,Medium,Middle,Moderate,Moderate,Medium
Developing,Low,Secondary,Medium,Medium,High,High,Moderate,Moderate,High
Developing,Medium,Primary,High,High,High,Low,Excellent,Poor,Medium
Developed,Medium,Primary,Medium,Medium,Medium,Middle,Excellent,Moderate,Medium
Developing,High,Secondary,High,High,Medium,High,Moderate,Poor,Low
Developing,Medium,Secondary,High,Low,Medium,Low,Excellent,Excellent,Low
Developing,Medium,Tertiary,Low,Medium,Low,High,Moderate,Excellent,Low
Developing,High,Tertiary,High,Low,Medium,Low,Poor,Excellent,Low
Developed,High,Primary,Low,Medium,Medium,High,Moderate,Poor,High
Developed,High,Secondary,High,High,High,High,Moderate,Moderate,Low
Developed,Medium,Tertiary,High,Low,High,Low,Moderate,Poor,High
Developed,Medium,Tertiary,Low,Low,High,Low,Moderate,Excellent,Medium
Developed,Low,Tertiary,High,High,High,Low,Poor,Excellent,Medium
Developed,Medium,Secondary,High,Medium,Low,Middle,Poor,Moderate,Medium
Developed,Low,Primary,Low,Medium,Low,Middle,Excellent,Moderate,Medium
Developed,High,Secondary,High,Medium,High,Middle,Moderate,Excellent,Low
Developing,Medium,Secondary,Medium,Low,High,Middle,Excellent,Excellent,Low
Developing,Low,Tertiary,Low,Medium,Medium,High,Moderate,Excellent,High
Developing,High,Secondary,Low,High,Low,Middle,Excellent,Poor,Low
Developing,High,Tertiary,Medium,Low,Medium,Low,Excellent,Poor,Medium
Developed,Low,Secondary,High,Medium,High,Low,Poor,Excellent,High
Developed,High,Tertiary,High,High,Medium,Low,Poor,Excellent,Low
Developed,High,Secondary,Medium,Low,High,Middle,Poor,Excellent,Low
Developed,Medium,Secondary,Medium,High,High,Low,Poor,Excellent,High
Developed,High,Primary,Low,Low,Low,Low,Excellent,Excellent,High
Developing,Low,Tertiary,High,Medium,Low,Middle,Moderate,Moderate,High
Developing,Medium,Tertiary,Medium,Low,Medium,Middle,Moderate,Moderate,High
Developing,High,Tertiary,High,Medium,High,High,Poor,Excellent,Low
Developed,Low,Primary,High,High,Medium,Low,Excellent,Poor,High
Developed,High,Secondary,High,Medium,High,High,Moderate,Moderate,High
Developing,Medium,Secondary,High,Medium,Medium,High,Moderate,Excellent,Low
Developing,Medium,Primary,High,Medium,High,High,Moderate,Moderate,Low
Developing,High,Primary,Low,Low,Medium,Low,Moderate,Moderate,Medium
Developed,High,Secondary,High,High,Medium,Low,Excellent,Poor,Medium
Developed,High,Secondary,Medium,High,High,Middle,Poor,Poor,High
Developed,Low,Primary,Low,High,High,High,Moderate,Moderate,High
Developed,Low,Primary,Medium,High,Medium,Low,Excellent,Poor,Medium
Developed,High,Tertiary,Low,Medium,Low,Middle,Excellent,Excellent,Low
Developed,High,Tertiary,Low,High,High,Low,Poor,Moderate,High
Developed,High,Tertiary,High,Medium,Low,Middle,Excellent,Excellent,High
Developed,Medium,Primary,Medium,High,Low,Low,Moderate,Excellent,Low
Developing,Medium,Tertiary,Medium,High,Low,Middle,Moderate,Poor,Medium
Developing,High,Secondary,Low,Medium,High,Low,Moderate,Excellent,Medium
Developed,Medium,Tertiary,Medium,Low,Low,Low,Poor,Excellent,Medium
Developing,High,Primary,High,Medium,High,Low,Moderate,Excellent,Medium
Developing,Low,Tertiary,Low,Low,Low,High,Moderate,Moderate,High
Developed,Low,Tertiary,Low,High,High,Low,Moderate,Moderate,Medium
Developing,Low,Secondary,Low,Low,High,High,Moderate,Poor,High
Developing,High,Primary,Low,High,High,Middle,Poor,Poor,Medium
Developed,Low,Secondary,Low,Medium,Medium,Middle,Moderate,Excellent,Low
Developed,High,Tertiary,High,High,Low,Low,Poor,Moderate,High
Developed,High,Secondary,High,High,Medium,Middle,Moderate,Excellent,Low
Developed,Low,Tertiary,Medium,High,High,Middle,Poor,Moderate,High
Developed,High,Primary,High,Medium,Medium,Low,Excellent,Excellent,Low
Developing,Low,Secondary,High,Medium,High,High,Moderate,Excellent,Low
Developing,Low,Tertiary,Low,Low,Low,High,Excellent,Moderate,Medium
Developed,High,Primary,Low,Medium,Medium,Middle,Moderate,Poor,High
Developed,Medium,Tertiary,Medium,Low,Low,High,Excellent,Poor,Low
Developing,Low,Secondary,Medium,Low,High,Middle,Excellent,Excellent,Medium
Developing,Low,Tertiary,Low,Low,Low,High,Excellent,Moderate,Low
Developing,High,Primary,Medium,Low,Medium,Middle,Poor,Excellent,High
Developing,Low,Secondary,Medium,Low,Low,Low,Excellent,Poor,Low
Developed,High,Tertiary,High,Medium,Medium,Low,Excellent,Moderate,High
Developing,Low,Primary,High,Medium,Low,Low,Poor,Poor,High
Developed,Medium,Tertiary,Low,Medium,Low,Low,Excellent,Poor,Low
Developed,Low,Secondary,Low,Medium,Medium,Middle,Excellent,Poor,Low
Developed,Low,Primary,Low,High,Low,High,Poor,Excellent,High
Developing,Medium,Secondary,High,Medium,High,High,Poor,Excellent,Medium
Developed,High,Secondary,Medium,High,High,Middle,Poor,Poor,High
Developed,Low,Secondary,Low,Low,High,Low,Moderate,Moderate,Medium
Developing,Low,Secondary,High,Medium,Medium,Middle,Excellent,Moderate,Medium
Developing,High,Secondary,Low,High,Medium,Low,Excellent,Moderate,Low
Developing,High,Secondary,High,Low,Low,High,Poor,Excellent,High
Developed,High,Primary,Low,High,Medium,Low,Excellent,Poor,High
Developing,Medium,Secondary,Medium,Medium,High,High,Excellent,Excellent,High
Developing,High,Tertiary,Medium,High,High,High,Poor,Moderate,Low
Developed,Medium,Primary,Low,High,Medium,Low,Excellent,Moderate,High
Developed,High,Secondary,High,High,Medium,Low,Moderate,Excellent,Medium
Developing,High,Tertiary,Low,Low,High,Low,Moderate,Moderate,Low
Developing,Low,Primary,Medium,Medium,Medium,Low,Excellent,Excellent,Medium
Developed,High,Secondary,Medium,High,Low,High,Moderate,Moderate,High
Developed,Medium,Secondary,Medium,Low,Low,High,Excellent,Excellent,Medium
Developed,Medium,Tertiary,Low,High,High,High,Moderate,Excellent,Low
Developed,Low,Primary,High,High,High,Low,Moderate,Excellent,Low
Developing,Medium,Tertiary,High,High,Low,High,Excellent,Moderate,High
Developed,Low,Primary,High,Low,High,Low,Poor,Excellent,Low
Developing,Medium,Secondary,High,Medium,Low,Middle,Excellent,Poor,High
Developing,High,Tertiary,High,Medium,High,Low,Moderate,Excellent,Medium
Developing,Medium,Primary,Low,High,High,Middle,Excellent,Excellent,Medium
Developed,High,Secondary,Medium,Low,High,Middle,Poor,Excellent,High
Developed,High,Secondary,High,High,Low,High,Poor,Poor,Medium
Developing,Medium,Primary,High,High,High,High,Moderate,Excellent,Medium
Developing,High,Secondary,Medium,Medium,Low,High,Poor,Poor,Medium
Developed,Medium,Primary,High,High,Medium,High,Moderate,Moderate,High
Developed,High,Secondary,Low,Medium,Medium,Low,Poor,Excellent,Medium
Developed,Medium,Tertiary,Low,Medium,Low,Middle,Excellent,Moderate,Low
Developed,High,Tertiary,High,Medium,Medium,Middle,Excellent,Moderate,Low
Developed,Medium,Secondary,High,Medium,Medium,Middle,Excellent,Poor,Low
Developed,Low,Secondary,Medium,High,Low,Low,Moderate,Moderate,High
Developed,Medium,Secondary,High,High,High,High,Poor,Poor,High
Developed,Low,Primary,High,Low,Low,Middle,Moderate,Moderate,Low
Developed,High,Primary,Medium,Low,Medium,Middle,Excellent,Poor,Medium
Developing,High,Tertiary,High,Medium,Medium,Middle,Poor,Excellent,High
Developed,High,Primary,High,High,Low,Low,Excellent,Moderate,Low
Developing,High,Primary,Low,Medium,High,Low,Moderate,Poor,High
Developing,Medium,Primary,High,Low,Medium,Low,Poor,Excellent,Low
Developing,Medium,Secondary,Medium,Medium,Medium,High,Excellent,Excellent,Medium
Developed,Medium,Secondary,High,Low,High,Middle,Poor,Moderate,Medium
Developed,Medium,Primary,Medium,High,Low,Low,Poor,Moderate,Low
Developing,Medium,Primary,High,High,Medium,Middle,Poor,Poor,Medium
Developed,Low,Primary,Medium,High,High,Middle,Moderate,Moderate,Low
Developed,Medium,Primary,High,High,Medium,High,Poor,Excellent,Low
Developing,Medium,Tertiary,Medium,Medium,High,Middle,Moderate,Excellent,High
Developing,Medium,Tertiary,Medium,Medium,Low,Middle,Moderate,Poor,High
Developed,Low,Primary,High,Low,Medium,Low,Poor,Poor,High
Developing,Medium,Secondary,High,High,High,Middle,Moderate,Poor,Medium
Developing,Medium,Tertiary,Low,High,Medium,High,Moderate,Poor,Low
Developed,Low,Primary,High,High,High,Low,Poor,Moderate,Medium
Developed,Medium,Primary,Medium,Low,High,High,Excellent,Excellent,High
Developed,High,Secondary,Medium,Low,Medium,Low,Moderate,Poor,Medium
Developed,Medium,Tertiary,Medium,Low,Low,Middle,Moderate,Poor,Low
Developed,High,Tertiary,Low,Medium,Medium,Low,Moderate,Excellent,Medium
Developed,Low,Primary,High,High,High,Low,Excellent,Excellent,High
Developing,High,Tertiary,Low,High,Low,Middle,Moderate,Poor,Low
Developing,Medium,Tertiary,Low,Low,High,Middle,Excellent,Excellent,Low
Developing,Medium,Primary,High,High,Medium,High,Excellent,Poor,High
Developing,High,Primary,Low,Low,Medium,Middle,Moderate,Excellent,Medium
Developed,Low,Primary,Medium,Medium,High,Low,Excellent,Poor,High
Developing,Medium,Tertiary,High,Low,Medium,High,Moderate,Poor,Low
Developed,Low,Primary,Medium,High,Medium,Middle,Poor,Moderate,Medium
Developed,Medium,Secondary,High,High,Medium,High,Excellent,Poor,High
Developing,Medium,Primary,Low,High,High,Low,Excellent,Excellent,High
Developing,High,Tertiary,High,Medium,Low,Low,Moderate,Excellent,Low
Developing,Low,Tertiary,Medium,High,Medium,Low,Excellent,Excellent,High
Developed,High,Primary,High,Low,Low,Middle,Poor,Excellent,High
Developed,Medium,Tertiary,High,High,Low,High,Excellent,Poor,Low
Developed,Low,Primary,Medium,Low,Low,High,Poor,Poor,Low
Developed,High,Secondary,Low,Low,High,High,Excellent,Excellent,High
Developed,Low,Secondary,Low,High,Low,Low,Poor,Excellent,High
Developed,Low,Tertiary,Low,Low,High,High,Poor,Poor,Medium
Developed,Low,Primary,Medium,Medium,High,Middle,Excellent,Moderate,High
Developed,Medium,Secondary,Medium,Low,High,High,Poor,Excellent,Medium
Developing,Medium,Primary,Medium,Medium,Medium,Low,Moderate,Excellent,High
Developing,Low,Secondary,Medium,Medium,Medium,Low,Excellent,Excellent,High
Developed,High,Tertiary,High,Low,Medium,Middle,Moderate,Poor,High
Developed,Low,Primary,Medium,High,High,High,Poor,Excellent,Low
Developed,Low,Tertiary,Medium,High,Low,High,Poor,Moderate,High
Developed,High,Secondary,High,Low,High,Middle,Poor,Moderate,High
Developed,Medium,Secondary,High,Low,High,Middle,Poor,Poor,Medium
Developing,Low,Tertiary,High,Medium,Low,High,Moderate,Moderate,High
Developed,Medium,Primary,High,High,Medium,High,Excellent,Moderate,Medium
Developing,Low,Primary,Medium,Low,Medium,High,Poor,Excellent,Low
Developing,Low,Tertiary,Medium,Low,Low,Low,Moderate,Excellent,Medium
Developed,Medium,Primary,High,High,High,Middle,Excellent,Moderate,Medium
Developing,High,Tertiary,Low,Medium,Medium,High,Poor,Moderate,Low
Developing,Medium,Primary,Medium,Low,Low,Middle,Poor,Poor,Low
Developed,Low,Primary,Low,High,High,Middle,Poor,Excellent,High
Developing,Medium,Secondary,Medium,Medium,Low,Middle,Excellent,Poor,High
Developing,Medium,Secondary,High,Medium,High,Middle,Moderate,Excellent,Low
Developing,Medium,Tertiary,High,Low,Low,High,Moderate,Moderate,Medium
Developing,Medium,Primary,Medium,Low,Low,High,Excellent,Excellent,Low
Developing,High,Secondary,Medium,Low,High,High,Poor,Excellent,Low
Developing,High,Tertiary,Medium,Low,Medium,High,Poor,Excellent,Medium
Developed,High,Secondary,Low,Medium,High,High,Poor,Moderate,Medium
Developing,Medium,Primary,Medium,High,Medium,High,Excellent,Excellent,High
Developing,Low,Primary,Low,Medium,Medium,High,Poor,Moderate,High
Developed,High,Primary,High,Medium,High,High,Poor,Excellent,Low
Developed,High,Tertiary,Low,Low,Low,High,Poor,Excellent,High
Developed,High,Primary,Low,High,Low,High,Moderate,Moderate,Medium
Developed,High,Primary,High,Low,High,Low,Moderate,Poor,Low
Developing,Medium,Secondary,Medium,Low,High,Middle,Moderate,Excellent,Low
Developing,High,Primary,High,High,High,Low,Moderate,Excellent,Low
Developed,High,Primary,High,High,High,Middle,Excellent,Moderate,High
Developing,Medium,Primary,High,High,High,High,Moderate,Poor,High
Developed,High,Tertiary,Medium,High,Medium,High,Moderate,Excellent,High
Developing,Low,Primary,Medium,Medium,High,High,Excellent,Poor,High
Developing,Low,Primary,Medium,Medium,High,Middle,Excellent,Poor,High
Developed,High,Tertiary,High,High,High,Low,Moderate,Poor,High
Developed,Low,Tertiary,Medium,High,Medium,High,Moderate,Moderate,Medium
Developed,Medium,Primary,Low,Low,High,High,Excellent,Poor,Medium
Developed,Medium,Tertiary,Medium,Low,High,Low,Moderate,Moderate,Medium
Developed,Low,Secondary,Low,Medium,Medium,Middle,Poor,Poor,High
Developing,Medium,Tertiary,High,Low,Medium,High,Moderate,Poor,Medium
Developing,Low,Primary,Low,High,Medium,High,Poor,Excellent,Low
Developed,Medium,Primary,High,Low,Low,Middle,Excellent,Moderate,Low
Developed,Medium,Tertiary,Medium,Medium,Medium,Middle,Excellent,Moderate,Medium
Developed,Low,Primary,High,Low,Low,High,Poor,Poor,Medium
Developed,Low,Primary,Medium,High,Low,High,Poor,Excellent,Low
Developed,Low,Secondary,Low,High,Low,Middle,Excellent,Moderate,High
Developed,Medium,Secondary,Medium,Low,Medium,Middle,Moderate,Poor,Low
Developed,Low,Primary,High,High,High,Middle,Moderate,Moderate,High
Developing,High,Primary,Low,Medium,Medium,Middle,Excellent,Moderate,High
Developed,Medium,Tertiary,High,Medium,High,Middle,Moderate,Excellent,High
Developed,Low,Secondary,High,Medium,Low,Middle,Excellent,Poor,High
Developing,Low,Secondary,Medium,High,Medium,High,Moderate,Moderate,Low
Developing,High,Secondary,Low,Medium,Low,Low,Moderate,Poor,Low
Developing,Low,Primary,Medium,Medium,High,Middle,Poor,Excellent,Low
Developing,Low,Primary,Low,Medium,Medium,Middle,Excellent,Excellent,Medium
Developing,High,Primary,Low,Medium,High,Low,Poor,Poor,Low
Developing,High,Secondary,High,Low,Medium,Middle,Poor,Moderate,Medium
Developing,Medium,Primary,High,High,Low,High,Moderate,Excellent,Low
Developed,High,Secondary,Low,Low,Medium,High,Excellent,Excellent,Medium
Developing,Medium,Primary,Medium,High,Low,Low,Excellent,Moderate,Medium
Developing,Medium,Tertiary,High,Medium,Low,Middle,Moderate,Excellent,Low
Developing,High,Secondary,High,High,Low,High,Poor,Excellent,Medium
Developing,High,Tertiary,Medium,Medium,Medium,Low,Poor,Excellent,Medium
Developed,Low,Secondary,High,High,Low,Middle,Excellent,Poor,Medium
Developed,Low,Secondary,Medium,Low,High,High,Moderate,Poor,Low
Developing,High,Primary,Low,High,Low,Middle,Poor,Poor,Medium
Developed,Medium,Secondary,Low,High,Medium,High,Moderate,Poor,Low
Developed,Medium,Tertiary,High,Low,Low,High,Moderate,Poor,Low
Developing,Low,Tertiary,High,High,High,Low,Moderate,Moderate,Medium
Developing,High,Secondary,Low,Low,Low,High,Poor,Poor,High
Developed,Medium,Primary,Medium,Low,Low,High,Excellent,Excellent,Medium
Developed,Low,Secondary,Low,Medium,Medium,Low,Poor,Moderate,Medium
Developed,High,Tertiary,High,High,Low,Middle,Poor,Excellent,Medium
Developed,Low,Secondary,Medium,High,High,High,Moderate,Moderate,Low
Developed,Low,Tertiary,Medium,Low,Low,High,Poor,Moderate,High
Developed,High,Secondary,High,High,Medium,High,Poor,Moderate,Medium
Developed,Low,Tertiary,High,High,Medium,High,Poor,Excellent,Low
Developed,Low,Primary,Low,High,Low,High,Poor,Poor,Low
Developing,Medium,Secondary,Medium,High,Medium,High,Poor,Moderate,Medium
Developing,High,Primary,Low,Low,Low,Middle,Poor,Poor,Medium
Developing,Medium,Tertiary,Medium,Low,Medium,Low,Excellent,Excellent,Low
Developed,High,Secondary,High,Medium,Low,Middle,Poor,Excellent,High
Developed,Medium,Secondary,High,Low,Medium,Middle,Moderate,Moderate,High
Developed,Low,Tertiary,Medium,High,Medium,Middle,Excellent,Poor,Low
Developing,High,Secondary,Low,High,Medium,Low,Poor,Poor,Low
Developing,Medium,Tertiary,High,High,Low,High,Excellent,Excellent,Medium
Developing,High,Primary,High,Medium,High,Low,Moderate,Poor,Low
Developed,Low,Primary,Medium,Low,Low,Middle,Poor,Moderate,Medium
Developed,High,Primary,Medium,High,High,High,Moderate,Excellent,High
Developing,Medium,Tertiary,Medium,Medium,Medium,High,Poor,Excellent,Low
Developing,Medium,Secondary,Low,Low,Medium,Low,Excellent,Poor,Medium
Developing,Medium,Tertiary,Medium,High,Medium,Low,Excellent,Excellent,Low
Developing,High,Primary,Low,Medium,High,Low,Poor,Excellent,High
Developed,Medium,Primary,High,Medium,High,Low,Excellent,Excellent,High
Developed,Medium,Tertiary,Low,Low,Low,Middle,Moderate,Moderate,Medium
Developing,Medium,Secondary,Medium,Low,Medium,Middle,Moderate,Poor,Medium
Developed,High,Tertiary,Medium,Low,High,Middle,Poor,Excellent,Low
Developed,Medium,Primary,Low,Medium,Low,High,Excellent,Excellent,Low
Developed,High,Tertiary,Medium,Medium,High,Middle,Moderate,Poor,Low
Developed,Medium,Tertiary,High,High,Medium,Low,Excellent,Moderate,Medium
Developed,Low,Secondary,Medium,High,Medium,Middle,Excellent,Poor,Medium
Developing,Low,Secondary,Low,Low,Medium,High,Excellent,Excellent,Low
Developed,Medium,Tertiary,High,Low,Low,Middle,Poor,Poor,Low
Developing,Medium,Tertiary,High,Low,High,Low,Moderate,Moderate,Low
Developed,High,Tertiary,Low,Low,Medium,High,Poor,Poor,Low
Developing,High,Secondary,Low,High,Low,Middle,Poor,Poor,Medium
Developing,High,Tertiary,Low,Medium,High,High,Moderate,Moderate,High
Developing,High,Tertiary,Medium,High,Low,High,Poor,Poor,Low
Developed,High,Primary,High,Medium,Low,Middle,Moderate,Poor,Low
Developing,Low,Primary,High,High,Medium,Low,Moderate,Poor,Low
Developed,Medium,Tertiary,Low,High,Low,Low,Poor,Poor,High
Developing,Low,Secondary,Medium,Low,Medium,High,Moderate,Poor,High
Developing,High,Secondary,Medium,Medium,Low,Middle,Moderate,Excellent,High
Developed,Low,Primary,Medium,High,Low,Low,Poor,Excellent,Low
Developing,Low,Secondary,High,Medium,Low,High,Excellent,Excellent,High
Developed,Low,Secondary,Medium,High,Medium,High,Moderate,Excellent,High
Developed,Medium,Secondary,Medium,High,Low,High,Poor,Poor,Medium
Developed,Medium,Tertiary,High,Low,Low,High,Moderate,Excellent,Low
Developing,High,Tertiary,Low,Medium,Low,Middle,Excellent,Moderate,High
Developing,High,Secondary,Low,Low,Medium,High,Moderate,Poor,Low
Developing,High,Tertiary,Low,Medium,Medium,High,Moderate,Moderate,High
Developing,High,Secondary,High,High,High,Low,Poor,Excellent,Medium
Developing,Low,Secondary,High,Medium,Medium,High,Excellent,Excellent,Low
Developed,Low,Secondary,Medium,High,Low,Middle,Moderate,Excellent,Low
Developing,Low,Tertiary,Medium,Low,Medium,Low,Moderate,Excellent,Low
Developed,Low,Secondary,Low,High,Medium,Low,Poor,Poor,Medium
Developed,High,Tertiary,Low,Medium,Medium,Low,Excellent,Excellent,Low
Developing,High,Primary,Medium,Low,Low,Low,Poor,Moderate,High
Developing,High,Primary,Medium,High,Low,Low,Excellent,Excellent,High
Developing,Low,Primary,Medium,Medium,High,High,Poor,Moderate,High
Developing,Medium,Tertiary,Medium,High,High,Low,Poor,Excellent,Medium
Developed,High,Secondary,Low,Low,Low,High,Poor,Moderate,Low
Developing,High,Tertiary,High,High,Low,Low,Moderate,Poor,High
Developing,Medium,Primary,Low,High,Low,Middle,Excellent,Poor,Medium
Developed,High,Tertiary,High,Medium,Medium,High,Moderate,Poor,Low
Developing,Low,Primary,Low,Medium,High,Middle,Poor,Excellent,High
Developed,Medium,Primary,High,High,High,Middle,Moderate,Excellent,Low
Developed,Low,Secondary,Medium,Medium,Low,Low,Poor,Poor,Medium
Developing,Medium,Primary,Medium,Medium,Low,High,Poor,Moderate,Low
Developed,Low,Tertiary,Low,Medium,Low,Middle,Moderate,Moderate,Low
Developing,Low,Secondary,Medium,Low,High,Middle,Poor,Excellent,High
Developing,High,Primary,Medium,Medium,High,High,Poor,Poor,Medium
Developing,Medium,Primary,Low,Medium,Low,High,Excellent,Poor,High
Developing,Low,Secondary,Low,Medium,Medium,Low,Excellent,Moderate,Low
Developing,High,Tertiary,Low,High,Low,Middle,Poor,Poor,Medium
Developed,High,Primary,High,High,High,Low,Moderate,Excellent,High
Developing,Medium,Tertiary,High,High,Low,Middle,Poor,Excellent,Medium
Developing,Low,Primary,High,High,High,Low,Poor,Poor,Medium
Developing,Low,Tertiary,High,Low,Medium,Low,Poor,Excellent,Low
Developing,High,Primary,High,High,Low,High,Excellent,Moderate,High
Developed,High,Tertiary,High,High,High,Middle,Moderate,Poor,High
Developing,High,Tertiary,Medium,Low,Medium,High,Moderate,Poor,High
Developed,High,Primary,High,Medium,Low,High,Moderate,Moderate,Low
Developed,Medium,Primary,High,High,Low,Low,Poor,Moderate,Medium
Developed,Low,Tertiary,High,Medium,High,Middle,Poor,Moderate,Low
Developed,Low,Primary,Low,Medium,Low,Low,Poor,Poor,High
Developing,High,Tertiary,High,Medium,Medium,Middle,Poor,Poor,High
Developing,Low,Tertiary,Medium,Low,High,High,Poor,Excellent,Medium
Developed,Medium,Primary,High,High,Medium,Middle,Moderate,Poor,Medium
Developed,Low,Primary,High,High,Low,Low,Moderate,Excellent,High
Developing,Medium,Secondary,Low,Low,Low,High,Poor,Excellent,Medium
Developed,Medium,Tertiary,High,High,High,High,Moderate,Moderate,Low
Developed,Low,Secondary,High,Medium,High,Middle,Poor,Moderate,Low
Developing,High,Primary,Medium,High,Medium,High,Moderate,Excellent,High
Developing,Low,Secondary,Medium,Low,Low,Middle,Excellent,Moderate,Medium
Developing,Medium,Tertiary,Low,Medium,High,High,Excellent,Moderate,High
Developing,Medium,Primary,Medium,Medium,Medium,High,Moderate,Excellent,High
Developed,High,Primary,High,Medium,Medium,Middle,Moderate,Poor,Low
Developed,Medium,Tertiary,High,High,High,Middle,Moderate,Poor,Medium
Developing,Low,Primary,Medium,Medium,Low,Middle,Moderate,Moderate,Medium
Developing,Low,Secondary,Medium,Medium,Medium,High,Excellent,Poor,Low
Developing,High,Tertiary,Low,Low,High,Low,Moderate,Excellent,Low
Developing,Medium,Primary,High,Medium,High,Low,Poor,Moderate,High
Developing,High,Primary,High,High,High,Middle,Poor,Excellent,Medium
Developing,High,Primary,High,Medium,Low,Middle,Excellent,Poor,Low
Developed,Low,Tertiary,Low,High,Low,High,Moderate,Excellent,Low
Developing,Low,Primary,Medium,Low,Medium,High,Poor,Poor,Medium
Developing,High,Secondary,High,High,Medium,Middle,Moderate,Moderate,High
Developed,Low,Primary,Medium,Medium,High,High,Poor,Excellent,High
Developed,Medium,Secondary,High,Medium,Medium,High,Moderate,Moderate,High
Developing,High,Primary,Low,Low,High,High,Excellent,Poor,Low
Developed,Medium,Tertiary,Medium,High,Low,High,Poor,Moderate,Medium
Developing,Medium,Primary,Medium,Low,Low,Middle,Moderate,Excellent,Medium
Developed,Medium,Tertiary,High,High,Medium,Middle,Poor,Excellent,High
Developing,Low,Tertiary,Low,Low,Low,Low,Excellent,Moderate,High
Developing,Medium,Primary,Low,Medium,High,High,Excellent,Moderate,Medium
Developed,High,Secondary,Medium,Medium,Medium,High,Excellent,Poor,Medium
Developing,Low,Primary,Medium,High,High,High,Excellent,Moderate,Medium
Developed,Medium,Secondary,Low,Medium,Medium,Low,Poor,Moderate,Medium
Developed,Medium,Tertiary,Low,Low,High,Low,Excellent,Moderate,High
Developing,Low,Secondary,Low,Medium,High,Low,Moderate,Excellent,High
Developed,Low,Primary,High,Medium,High,Low,Excellent,Moderate,Low
Developed,Medium,Secondary,Medium,Low,Medium,High,Poor,Poor,High
Developed,Low,Tertiary,Low,Medium,Medium,Low,Excellent,Excellent,High
Developing,Low,Primary,High,Low,Low,High,Excellent,Poor,Low
Developing,Medium,Secondary,Medium,Low,Medium,Middle,Excellent,Moderate,Low
Developed,Low,Primary,High,Low,Medium,Middle,Excellent,Excellent,Low
Developed,Low,Primary,Medium,Low,Low,High,Moderate,Excellent,Medium
Developing,Medium,Primary,High,Low,Medium,Middle,Poor,Excellent,High
Developed,High,Primary,Low,High,Low,Middle,Moderate,Poor,Low
Developed,High,Primary,Medium,Medium,Low,Low,Poor,Excellent,Low
Developing,High,Primary,Medium,High,Low,Low,Moderate,Excellent,Medium
Developed,Low,Tertiary,High,High,Medium,Low,Moderate,Poor,Medium
Developing,Low,Primary,Low,High,Medium,High,Poor,Moderate,Low
Developing,Medium,Primary,High,High,Low,Low,Excellent,Poor,High
Developed,Medium,Primary,Low,Low,High,Middle,Moderate,Poor,Medium
Developed,High,Tertiary,Low,High,High,Middle,Poor,Moderate,Low
Developed,Low,Primary,Low,Low,Low,Low,Poor,Moderate,High
Developed,Medium,Secondary,High,Medium,High,Middle,Moderate,Poor,High
Developed,Low,Primary,High,Low,Medium,High,Excellent,Excellent,Low
Developing,High,Primary,High,Medium,Low,High,Excellent,Excellent,High
Developed,Medium,Tertiary,Medium,High,Low,Low,Moderate,Poor,High
Developed,High,Primary,Medium,High,High,Middle,Excellent,Moderate,Low
Developed,Medium,Primary,Low,High,Low,Middle,Poor,Moderate,Medium
Developed,High,Tertiary,High,High,Medium,High,Poor,Moderate,Low
Developing,Low,Primary,Medium,Low,High,Middle,Moderate,Excellent,Low
Developed,High,Secondary,Medium,Medium,High,High,Moderate,Excellent,High
Developing,High,Secondary,Medium,Medium,High,Low,Poor,Moderate,High
Developing,Medium,Tertiary,High,Low,Medium,High,Poor,Poor,Medium
Developing,Low,Secondary,Medium,Medium,Medium,Middle,Poor,Moderate,Low
Developing,Medium,Primary,Medium,High,Medium,Low,Poor,Excellent,Medium
Developed,Medium,Secondary,High,Low,Low,High,Poor,Moderate,Medium
Developed,Low,Secondary,Low,Low,High,Middle,Poor,Excellent,High
Developing,Medium,Primary,High,Low,Low,High,Poor,Moderate,Medium
Developing,High,Secondary,Medium,Low,High,High,Moderate,Poor,Low
Developed,High,Secondary,Medium,Low,Medium,Low,Moderate,Excellent,Medium
Developed,Medium,Primary,Low,High,High,Low,Excellent,Moderate,High
Developed,Medium,Primary,Medium,Low,Low,Low,Excellent,Poor,High
Developed,Medium,Secondary,Low,Low,High,Middle,Moderate,Excellent,Medium
Developed,Low,Primary,High,Low,High,Low,Excellent,Moderate,Medium
Developing,Low,Secondary,High,Low,Low,Middle,Moderate,Moderate,High
Developing,Medium,Primary,High,Medium,Low,High,Poor,Poor,Medium
Developed,High,Tertiary,High,Low,Low,High,Moderate,Moderate,High
